醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
2345100014,花蓮縣富里鄉衛生所,花蓮縣富里鄉富里村中山路２０３號,(03)8831029,0,196,2020/02/15 15:51:04
2345110010,花蓮縣秀林鄉衛生所,花蓮縣秀林鄉秀林村１２鄰秀林路８８號,(03)8612122,4,0,2020/02/15 15:51:04
2345120016,花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村１２號,(03)8751651,249,299,2020/02/15 15:51:04
2345130012,花蓮縣卓溪鄉衛生所,花蓮縣卓溪鄉卓溪村中正路６５號,(03)8882592,397,233,2020/02/15 15:51:04
2346050013,台東縣大武鄉衛生所,台東縣大武鄉大武村濱海路１００號,(089)791325,152,142,2020/02/15 15:51:04
2346070015,臺東縣東河鄉衛生所,臺東縣東河鄉東河村南東河路１０鄰３００號,(089)896289,145,244,2020/02/15 15:51:04
2346110014,台東縣綠島鄉衛生所,台東縣綠島鄉中寮村１－１號,(089)672511,117,243,2020/02/15 15:51:04
2346120010,台東縣延平鄉衛生所,台東縣延平鄉桃源村昇平路１１號,(089)561040,734,288,2020/02/15 15:51:04
2346130016,台東縣海端鄉衛生所,台東縣海端鄉海端村３鄰２９號,(089)931391,0,152,2020/02/15 15:51:04
2346140012,台東縣達仁鄉衛生所,台東縣達仁鄉安朔村復興路１２２號,(089)702209,1202,402,2020/02/15 15:51:04
2346150018,台東縣金峰鄉衛生所,台東縣金峰鄉賓茂村１鄰１４號,(089)772201,1089,326,2020/02/15 15:51:04
2346160014,台東縣蘭嶼鄉衛生所,台東縣蘭嶼鄉紅頭村３６號,(089)732575,1285,428,2020/02/15 15:51:04
2390030030,金門縣金湖鎮衛生所,金門縣金湖鎮正義里成功７號之１,(082)336662,200,50,2020/02/15 15:51:04
2390040518,金門縣金寧鄉衛生所,金門縣金寧鄉盤山村仁愛新屯２之１號,(082)325735,0,64,2020/02/15 15:51:04
2390050032,金門縣烈嶼鄉衛生所,金門縣烈嶼鄉西口村西方６－５號,(082)362078,36,140,2020/02/15 15:51:04
2391020010,連江縣北竿鄉衛生所,連江縣北竿鄉塘岐村２５號,(083)655592,376,224,2020/02/15 15:51:04
2391030016,連江縣莒光鄉西莒衛生所,連江縣莒光鄉青帆村１４－１號,(083)689122,1485,442,2020/02/15 15:51:04
2391030026,連江縣莒光鄉東莒衛生所,連江縣莒光鄉大坪村３０－１號,(083)689038,1129,460,2020/02/15 15:51:04
2391040012,連江縣東引鄉衛生所,連江縣東引鄉中柳村１２３號,(083)677206,1009,435,2020/02/15 15:51:04
5901010058,安郁藥局,台北市松山區八德路３段１２巷５１弄１６號１樓,(02)25774551,0,128,2020/02/15 15:51:04
5901010076,榮星藥局,台北市松山區南京東路４段１３３巷５弄１號,(02)27124696,1,7,2020/02/15 15:51:04
5901010085,安世藥局,台北市松山區南京東路４段１３３巷５弄９號,(02)27133405,0,40,2020/02/15 15:51:04
5901010094,明一藥局,台北市松山區南京東路５段５９巷２８弄２５號１樓,(02)27691654,24,114,2020/02/15 15:51:04
5901010165,傑安藥局,台北市松山區八德路２段４３７巷７弄８號１樓,(02)27524155,0,102,2020/02/15 15:51:04
5901010174,仁弘藥局,台北市松山區民生東路３段１１３巷２５弄６號１樓,(02)27136764,0,2,2020/02/15 15:51:04
5901010192,益華藥局,台北市松山區民生東路５段１３８巷６號,(02)27624898,0,38,2020/02/15 15:51:04
5901010272,德靈藥局,台北市松山區富錦街５４８號,(02)27646998,0,172,2020/02/15 15:51:04
5901010290,健全藥局,台北市松山區民權東路３段１０３巷２０號,(02)27128293,0,88,2020/02/15 15:51:04
5901010496,瑞昌大藥局,台北市松山區民權東路３段１０３巷１０號,(02)27151881,0,88,2020/02/15 15:51:04
5901010576,合生藥局,台北市松山區南京東路５段１２３巷４５號１樓,(02)27602932,0,22,2020/02/15 15:51:04
5901011662,上允藥局,台北市松山區民生東路５段７８號,(02)27696905,0,260,2020/02/15 15:51:04
5901011699,建東大藥局,台
